"ID","indicator_id","indicator_name_aff","indicator_name","indicator_function","indicator_parameters","indicator_strategies","indicator_default_para"
"[301386,502700429]",157,"Average Price","AVGPRICE",140,"{""parameters_id"":[39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""source"":[{""VALUES"":[""close"",""open"",""high"",""low""],""DEFAULT"":""close""}]}"
"[301386,502700430]",158,"Median Price","MEDPRICE",141,"{""parameters_id"":[39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700431]",159,"Typical Price","TYPPRICE",142,"{""parameters_id"":[39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700432]",160,"Weighted Close Price","WCLPRICE",143,"{""parameters_id"":[39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700433]",161,"Beta","BETA",144,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":5}]}"
"[301386,502700434]",162,"Pearson's Correlation Coefficient (r)","CORREL",145,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":30}]}"
"[301386,502700435]",163,"Linear Regression","LINEARREG",146,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""source"":[{""VALUES"":[""close"",""open"",""high"",""low""],""DEFAULT"":""close""}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":14}]}"
"[301386,502700436]",164,"Linear Regression Angle","LINEARREG_ANGLE",147,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""source"":[{""VALUES"":[""close"",""open"",""high"",""low""],""DEFAULT"":""close""}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":14}]}"
"[301386,502700437]",165,"Linear Regression Intercept","LINEARREG_INTERCEPT",148,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""source"":[{""VALUES"":[""close"",""open"",""high"",""low""],""DEFAULT"":""close""}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":14}]}"
"[301386,502700438]",166,"Linear Regression Slope","LINEARREG_SLOPE",149,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""source"":[{""VALUES"":[""close"",""open"",""high"",""low""],""DEFAULT"":""close""}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":14}]}"
"[301386,502700439]",167,"Standard Deviation","STDDEV",150,"{""parameters_id"":[2,38,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""nbdev"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":1}],""source"":[{""VALUES"":[""close"",""open"",""high"",""low""],""DEFAULT"":""close""}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":5}]}"
"[301386,502700440]",168,"Time Series Forecast","TSF",151,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""source"":[{""VALUES"":[""close"",""open"",""high"",""low""],""DEFAULT"":""close""}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":14}]}"
"[301386,502700441]",169,"Variance","VAR",152,"{""parameters_id"":[2,38,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""nbdev"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":1}],""source"":[{""VALUES"":[""close"",""open"",""high"",""low""],""DEFAULT"":""close""}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":5}]}"
"[301386,502700442]",170,"Average True Range","ATR",153,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":14}]}"
"[301386,502700443]",171,"Normalized Average True Range","NATR",154,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":14}]}"
"[301386,502700444]",172,"True Range","TRANGE",155,"{""parameters_id"":[39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700446]",173,"Chaikin A/D Line","AD",156,"{""parameters_id"":[39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}]}"
